Index,X,Y,Z,E
228,6385,7763,83,4325
229,6547,7763,83,4333
230,6709,7763,83,4341
231,6871,7763,83,4349
232,7033,7763,83,4358
233,7196,7763,83,4366
234,7358,7763,83,4374
235,7520,7763,83,4382
236,7682,7763,83,4391
237,7844,7763,83,4399
238,8006,7763,83,4407
239,8168,7763,83,4415
240,8330,7763,83,4423
241,8492,7765,83,4431
242,8653,7790,83,4439
243,8813,7814,83,4447
244,8974,7834,83,4456
245,9135,7853,83,4464
246,9296,7867,83,4472
247,9458,7877,83,4480
248,9620,7884,83,4489
249,9782,7888,83,4497
250,9944,7890,83,4505
251,10106,7890,83,4513
252,10268,7888,83,4521
253,10430,7883,83,4529
254,10592,7875,83,4537
255,10754,7863,83,4546
256,10915,7847,83,4554
257,11076,7829,83,4562
258,11237,7807,83,4570
259,11397,7781,83,4578
260,11558,7763,83,4586
261,11720,7763,83,4595
262,11882,7763,83,4603
263,12044,7763,83,4611
264,12207,7763,83,4619
265,12369,7763,83,4628
266,12531,7763,83,4636
267,12693,7763,83,4644
268,12855,7763,83,4652
269,13017,7763,83,4661
270,13179,7763,83,4669
271,13341,7763,83,4677
272,13503,7763,83,4685
273,13666,7763,83,4694
274,13828,7763,83,4702
275,13990,7763,83,4710
276,14150,7780,83,4718
277,14275,7878,83,4726
278,14320,8032,83,4735
279,14320,8194,83,4743
280,14320,8356,83,4751
281,14320,8518,83,4759
282,14320,8680,83,4767
283,14312,8842,83,4775
284,14227,8976,83,4783
285,14079,9035,83,4792
286,13917,9037,83,4800
287,13755,9037,83,4808
288,13593,9037,83,4816
289,13431,9037,83,4824
290,13269,9037,83,4832
291,13107,9037,83,4841
292,12944,9037,83,4849
293,12782,9037,83,4857
294,12620,9037,83,4865
295,12458,9037,83,4873
296,12296,9037,83,4882
297,12134,9037,83,4890
298,11972,9037,83,4898
299,11810,9037,83,4906
300,11647,9037,83,4915
301,11485,9033,83,4923
302,11326,9006,83,4931
303,11165,8983,83,4939
304,11004,8963,83,4947
305,10843,8946,83,4955
306,10682,8931,83,4964
307,10520,8922,83,4972
308,10358,8915,83,4980
309,10196,8912,83,4989
310,10034,8910,83,4997
311,9872,8910,83,5004
312,9709,8912,83,5013
313,9547,8918,83,5021
314,9386,8927,83,5030
315,9224,8939,83,5038
316,9063,8955,83,5046
317,8902,8974,83,5054
318,8741,8997,83,5062
319,8581,9023,83,5070
320,8420,9037,83,5079
321,8258,9037,83,5087
322,8096,9037,83,5095
323,7933,9037,83,5103
324,7771,9037,83,5111
325,7609,9037,83,5119
326,7447,9037,83,5128
327,7285,9037,83,5136
328,7123,9037,83,5144
329,6961,9037,83,5152
330,6799,9037,83,5160
331,6637,9037,83,5168
332,6474,9037,83,5177
333,6312,9037,83,5185
334,6150,9037,83,5193
335,5988,9037,83,5201
336,5830,9011,83,5209
337,5713,8903,83,5217
338,5680,8746,83,5226
339,5680,8584,83,5234
340,5680,8422,83,5242
341,5680,8260,83,5250
342,5680,8098,83,5259
343,5695,7937,83,5267
344,5790,7809,83,5275
345,5985,7969,83,5389
346,6284,8126,83,5389
347,6761,8219,83,5389
348,7238,8311,83,5389
349,7716,8403,83,5389
350,8193,8496,83,5389
351,8670,8588,83,5389
352,8660,8622,83,5506
353,8513,8691,83,5515
354,8366,8733,83,5523
355,8204,8733,83,5531
356,8041,8733,83,5539
357,7879,8733,83,5547
358,7717,8733,83,5556
359,7555,8733,83,5564
360,7393,8733,83,5572
361,7231,8733,83,5580
362,7069,8733,83,5588
363,6907,8733,83,5596
364,6745,8733,83,5605
365,6582,8733,83,5613
366,6420,8733,83,5621
