Index,X,Y,Z,E
4263,9620,8472,720,42993
4264,9392,8243,720,43010
4265,9150,8345,720,43022
4266,8922,8574,720,43038
4267,8679,8436,720,43050
4268,8451,8207,720,43067
4269,8458,8102,720,43076
4270,8293,8297,720,43089
4271,8065,8525,720,43106
4272,7891,8718,720,43119
4273,7931,8593,720,43128
4274,7703,8364,720,43145
4275,7474,8136,720,43161
4276,7576,8108,720,43167
4277,7348,8337,720,43183
4278,7120,8566,720,43199
4279,7048,8721,720,43210
4280,6995,8563,720,43221
4281,6766,8334,720,43238
4282,6538,8105,720,43254
4283,6632,8147,720,43261
4284,6403,8376,720,43277
4285,6176,8605,720,43293
4286,6230,8718,720,43301
4287,6051,8523,720,43315
4288,6087,8239,720,43325
4289,6385,8112,720,43336
4290,7330,8309,720,43336
4291,8278,8506,720,43336
4292,8635,8631,720,43341
4293,8345,8733,720,43357
4294,8022,8733,720,43373
4295,7699,8733,720,43390
4296,7375,8733,720,43406
4297,7052,8733,720,43422
4298,6728,8733,720,43439
4299,6405,8733,720,43455
4300,6081,8733,720,43471
4301,5984,8531,720,43486
4302,5984,8207,720,43503
4303,6142,8067,720,43518
4304,6465,8067,720,43534
4305,6789,8067,720,43551
4306,7112,8067,720,43567
4307,7436,8067,720,43583
4308,7759,8067,720,43600
4309,8083,8067,720,43616
4310,8406,8067,720,43632
4311,8693,8186,720,43649
4312,9015,8194,720,43665
4313,9339,8194,720,43681
4314,9662,8194,720,43698
4315,9985,8194,720,43714
4316,10309,8194,720,43730
4317,10632,8194,720,43747
4318,10956,8194,720,43763
4319,11279,8193,720,43779
4320,11565,8067,720,43795
4321,11889,8067,720,43812
4322,12212,8067,720,43828
4323,12536,8067,720,43844
4324,12859,8067,720,43861
4325,13182,8067,720,43877
4326,13506,8067,720,43893
4327,13829,8067,720,43910
4328,14016,8180,720,43925
4329,14016,8503,720,43941
4330,13947,8733,720,43957
4331,13624,8733,720,43973
4332,13300,8733,720,43989
4333,12977,8733,720,44006
4334,12654,8733,720,44022
4335,12330,8733,720,44038
4336,12007,8733,720,44055
4337,11683,8733,720,44071
4338,11392,8641,720,44087
4339,11074,8606,720,44103
4340,10751,8606,720,44120
4341,10427,8606,720,44136
4342,10104,8606,720,44152
4343,9780,8606,720,44169
4344,9457,8606,720,44185
4345,9134,8606,720,44201
4346,8810,8606,720,44218
4347,8647,8661,720,44226
4348,8505,8738,720,44234
4349,8352,8765,720,44242
4350,8190,8765,720,44250
4351,8028,8765,720,44259
4352,7866,8765,720,44267
4353,7704,8765,720,44275
4354,7542,8765,720,44283
4355,7380,8765,720,44292
4356,7217,8765,720,44300
4357,7055,8765,720,44308
4358,6893,8765,720,44316
4359,6731,8765,720,44324
4360,6569,8765,720,44333
4361,6407,8765,720,44341
4362,6245,8765,720,44349
4363,6083,8765,720,44357
4364,5952,8736,720,44365
4365,5952,8574,720,44373
4366,5952,8412,720,44381
4367,5952,8250,720,44389
4368,5952,8088,720,44397
4369,6057,8035,720,44405
4370,6220,8035,720,44414
4371,6382,8035,720,44422
4372,6544,8035,720,44430
4373,6706,8035,720,44438
4374,6868,8035,720,44447
4375,7030,8035,720,44455
4376,7192,8035,720,44463
4377,7354,8035,720,44471
4378,7516,8035,720,44480
4379,7679,8035,720,44488
4380,7841,8035,720,44496
4381,8003,8035,720,44504
4382,8165,8035,720,44513
4383,8327,8035,720,44521
4384,8485,8047,720,44529
4385,8623,8130,720,44537
4386,8780,8162,720,44545
4387,8943,8162,720,44553
4388,9105,8162,720,44561
4389,9267,8162,720,44569
4390,9429,8162,720,44578
4391,9591,8162,720,44586
4392,9753,8162,720,44594
4393,9915,8162,720,44602
4394,10077,8162,720,44611
4395,10239,8162,720,44619
4396,10402,8162,720,44627
4397,10564,8162,720,44635
4398,10726,8162,720,44643
4399,10888,8162,720,44652
4400,11050,8162,720,44660
4401,11212,8162,720,44668
4402,11370,8133,720,44677
4403,11509,8051,720,44684
4404,11666,8035,720,44693
4405,11828,8035,720,44701
4406,11990,8035,720,44709
4407,12152,8035,720,44717
4408,12314,8035,720,44726
4409,12476,8035,720,44734
4410,12638,8035,720,44742
4411,12800,8035,720,44750
4412,12963,8035,720,44758
4413,13125,8035,720,44766
4414,13287,8035,720,44775
4415,13449,8035,720,44783
4416,13611,8035,720,44791
4417,13773,8035,720,44799
4418,13935,8035,720,44807
4419,14048,8082,720,44815
4420,14048,8244,720,44824
4421,14048,8406,720,44832
4422,14048,8568,720,44840
4423,14048,8730,720,44848
4424,13925,8765,720,44856
4425,13763,8765,720,44864
4426,13600,8765,720,44873
4427,13438,8765,720,44881
4428,13276,8765,720,44889
