Index,X,Y,Z,E
0,124,0,0,33
1,259,0,0,69
2,394,0,0,104
3,529,0,0,139
4,664,0,0,175
5,800,0,0,210
6,935,0,0,246
7,1070,0,0,281
8,1205,0,0,317
9,1340,0,0,352
10,1475,0,0,388
11,1610,0,0,423
12,1745,0,0,459
13,1880,0,0,494
14,2016,0,0,530
15,2151,0,0,565
16,2286,0,0,601
17,2421,0,0,636
18,2556,0,0,672
19,2691,0,0,707
20,2826,0,0,743
21,2961,0,0,778
22,3097,0,0,814
23,3232,0,0,849
24,3367,0,0,885
25,3502,0,0,920
26,3637,0,0,956
27,3772,0,0,991
28,3907,0,0,1027
29,4042,0,0,1062
30,4177,0,0,1098
31,4313,0,0,1133
32,4448,0,0,1169
33,4583,0,0,1204
34,4718,0,0,1240
35,4853,0,0,1291
36,4988,0,0,1365
37,5123,0,0,1439
38,5258,0,0,1513
39,5393,0,0,1587
40,5529,0,0,1661
41,5664,0,0,1735
42,5799,0,0,1809
43,5934,0,0,1882
44,6069,0,0,1956
45,6204,0,0,2031
46,6339,0,0,2105
47,6474,0,0,2179
48,6609,0,0,2253
49,6745,0,0,2326
50,6880,0,0,2400
51,7015,0,0,2474
52,7150,0,0,2548
53,7285,0,0,2622
54,7420,0,0,2697
55,7555,0,0,2770
56,7690,0,0,2844
57,7826,0,0,2918
58,7961,0,0,2992
59,7963,131,1,3127
60,7829,597,6,3127
61,7695,1063,11,3127
62,7561,1530,16,3127
63,7427,1996,21,3127
64,7293,2462,25,3127
65,7159,2928,30,3127
66,7025,3394,35,3127
67,6891,3861,40,3127
68,6757,4327,44,3127
69,6623,4793,49,3127
70,6488,5259,54,3127
71,6354,5726,59,3127
72,6221,6192,64,3127
73,6087,6658,68,3127
74,5952,7124,73,3127
75,5818,7590,78,3127
76,5780,7779,80,3242
77,5933,7732,80,3250
78,6095,7731,80,3259
79,6257,7731,80,3267
80,6420,7731,80,3275
81,6582,7731,80,3283
82,6744,7731,80,3291
83,6906,7731,80,3299
84,7068,7731,80,3307
85,7230,7731,80,3315
86,7392,7731,80,3323
87,7554,7731,80,3331
88,7717,7731,80,3339
89,7879,7731,80,3347
90,8041,7731,80,3355
91,8203,7731,80,3363
92,8365,7731,80,3371
93,8527,7736,80,3378
94,8687,7763,80,3387
95,8847,7787,80,3395
96,9008,7807,80,3403
97,9169,7823,80,3411
98,9331,7838,80,3419
99,9493,7847,80,3427
100,9655,7853,80,3435
101,9817,7856,80,3443
102,9979,7858,80,3451
103,10141,7857,80,3459
104,10303,7855,80,3467
105,10465,7849,80,3475
106,10627,7840,80,3483
107,10789,7828,80,3491
108,10950,7812,80,3500
109,11111,7792,80,3507
110,11271,7769,80,3515
111,11432,7743,80,3523
112,11593,7731,80,3531
113,11755,7731,80,3539
114,11917,7731,80,3547
115,12079,7731,80,3555
116,12241,7731,80,3563
117,12404,7731,80,3571
118,12566,7731,80,3579
119,12728,7731,80,3587
120,12890,7731,80,3595
121,13052,7731,80,3604
122,13214,7731,80,3612
123,13376,7731,80,3620
124,13538,7731,80,3628
125,13700,7731,80,3636
126,13863,7731,80,3644
127,14025,7731,80,3652
128,14183,7759,80,3660
129,14303,7864,80,3668
130,14351,8017,80,3676
131,14352,8179,80,3684
132,14352,8341,80,3692
133,14352,8503,80,3700
134,14352,8665,80,3708
135,14348,8827,80,3716
136,14279,8971,80,3724
137,14143,9056,80,3732
138,13982,9069,80,3740
139,13820,9069,80,3748
140,13658,9069,80,3756
141,13496,9069,80,3764
142,13334,9069,80,3772
143,13172,9069,80,3780
144,13010,9069,80,3788
145,12848,9069,80,3796
146,12685,9069,80,3804
147,12523,9069,80,3812
148,12361,9069,80,3820
149,12199,9069,80,3828
150,12037,9069,80,3836
151,11875,9069,80,3844
152,11713,9069,80,3852
153,11551,9069,80,3860
154,11390,9050,80,3868
155,11230,9024,80,3877
156,11069,9002,80,3885
157,10908,8984,80,3892
158,10747,8969,80,3900
159,10585,8957,80,3909
160,10423,8949,80,3917
161,10261,8945,80,3925
162,10099,8942,80,3932
163,9937,8942,80,3941
164,9775,8944,80,3949
165,9612,8948,80,3957
166,9451,8954,80,3965
167,9289,8966,80,3973
168,9127,8981,80,3981
169,8966,8998,80,3989
170,8805,9019,80,3997
171,8645,9045,80,4005
172,8485,9067,80,4013
173,8323,9069,80,4021
174,8161,9069,80,4029
175,7998,9069,80,4037
176,7836,9069,80,4045
177,7674,9069,80,4053
178,7512,9069,80,4062
179,7350,9069,80,4070
180,7188,9069,80,4078
181,7026,9069,80,4086
182,6864,9069,80,4094
183,6702,9069,80,4102
184,6539,9069,80,4110
185,6377,9069,80,4118
186,6215,9069,80,4126
187,6053,9069,80,4134
188,5891,9064,80,4142
189,5747,8995,80,4150
190,5661,8860,80,4158
191,5648,8699,80,4166
192,5648,8537,80,4174
193,5648,8375,80,4182
194,5648,8213,80,4190
195,5648,8051,80,4198
196,5678,7893,80,4206
197,5795,7807,80,4212
198,5948,7763,80,4221
199,6110,7763,80,4229
200,6273,7763,80,4237
201,6435,7763,80,4245
202,6597,7763,80,4253
203,6759,7763,80,4261
204,6921,7763,80,4269
205,7083,7763,80,4277
206,7245,7763,80,4285
207,7407,7763,80,4293
208,7570,7763,80,4301
209,7732,7763,80,4309
210,7894,7763,80,4317
211,8056,7763,80,4325
212,8218,7763,80,4333
213,8380,7763,80,4341
214,8542,7771,80,4349
215,8702,7798,80,4357
216,8862,7821,80,4365
217,9023,7840,80,4373
218,9184,7857,80,4381
219,9346,7871,80,4389
220,9508,7880,80,4397
221,9670,7885,80,4405
222,9832,7889,80,4413
223,9994,7890,80,4421
224,10156,7889,80,4430
225,10318,7887,80,4438
226,10480,7881,80,4446
227,10642,7871,80,4453
228,10804,7858,80,4461
229,10965,7843,80,4469
230,11126,7822,80,4477
231,11286,7799,80,4486
232,11446,7773,80,4494
233,11608,7763,80,4502
234,11770,7763,80,4510
235,11932,7763,80,4518
236,12094,7763,80,4526
237,12256,7763,80,4534
238,12418,7763,80,4542
239,12581,7763,80,4550
240,12743,7763,80,4558
241,12905,7763,80,4566
242,13067,7763,80,4574
243,13229,7763,80,4582
244,13391,7763,80,4590
245,13553,7763,80,4598
246,13715,7763,80,4606
247,13878,7763,80,4614
248,14040,7764,80,4622
249,14195,7801,80,4630
250,14299,7922,80,4638
251,14320,8082,80,4646
252,14320,8244,80,4654
253,14320,8406,80,4662
254,14320,8568,80,4670
255,14320,8730,80,4678
256,14295,8889,80,4686
257,14186,9004,80,4694
258,14029,9037,80,4702
259,13867,9037,80,4710
260,13705,9037,80,4718
261,13543,9037,80,4726
262,13381,9037,80,4734
263,13219,9037,80,4742
264,13057,9037,80,4750
265,12894,9037,80,4758
266,12732,9037,80,4766
267,12570,9037,80,4775
268,12408,9037,80,4783
269,12246,9037,80,4791
270,12084,9037,80,4799
271,11922,9037,80,4807
272,11760,9037,80,4815
273,11597,9037,80,4823
274,11436,9025,80,4831
275,11276,8999,80,4839
276,11116,8976,80,4847
277,10955,8957,80,4855
278,10793,8941,80,4863
279,10632,8928,80,4871
280,10470,8919,80,4879
281,10308,8914,80,4887
282,10146,8911,80,4895
283,9984,8910,80,4903
284,9822,8911,80,4911
285,9659,8913,80,4919
286,9497,8920,80,4927
287,9336,8931,80,4935
288,9174,8944,80,4943
289,9013,8960,80,4951
290,8852,8981,80,4960
291,8692,9005,80,4968
292,8532,9030,80,4975
293,8370,9037,80,4983
294,8208,9037,80,4991
295,8045,9037,80,4999
296,7883,9037,80,5007
297,7721,9037,80,5015
298,7559,9037,80,5023
299,7397,9037,80,5031
300,7235,9037,80,5039
301,7073,9037,80,5047
302,6911,9037,80,5055
303,6749,9037,80,5063
304,6586,9037,80,5071
305,6424,9037,80,5079
306,6262,9037,80,5088
307,6100,9037,80,5096
308,5938,9036,80,5104
309,5786,8987,80,5112
310,5693,8857,80,5120
311,5680,8696,80,5128
312,5680,8534,80,5136
313,5680,8372,80,5144
314,5680,8210,80,5152
315,5680,8047,80,5160
316,5716,7892,80,5168
317,5791,7809,80,5280
318,5986,8068,80,5287
319,6433,8155,80,5287
320,6910,8247,80,5287
321,7387,8340,80,5287
322,7865,8432,80,5287
323,8342,8524,80,5287
324,8723,8598,80,5338
325,8612,8640,80,5405
326,8473,8723,80,5413
327,8315,8733,80,5421
328,8152,8733,80,5429
329,7990,8733,80,5437
330,7828,8733,80,5445
331,7666,8733,80,5454
332,7504,8733,80,5462
333,7342,8733,80,5470
334,7180,8733,80,5478
335,7018,8733,80,5486
336,6855,8733,80,5494
337,6693,8733,80,5502
338,6531,8733,80,5510
339,6369,8733,80,5518
340,6207,8733,80,5526
341,6045,8733,80,5534
342,5984,8634,80,5542
343,5984,8472,80,5550
344,5984,8310,80,5558
345,5984,8148,80,5566
346,6061,8067,80,5574
347,6223,8067,80,5582
348,6385,8067,80,5590
349,6548,8067,80,5598
350,6710,8067,80,5606
351,6872,8067,80,5614
352,7034,8067,80,5622
353,7196,8067,80,5630
354,7358,8067,80,5638
355,7520,8067,80,5646
356,7682,8067,80,5654
357,7844,8067,80,5662
358,8007,8067,80,5670
359,8169,8067,80,5678
360,8331,8067,80,5686
361,8485,8089,80,5694
362,8627,8167,80,5702
363,8785,8194,80,5710
364,8947,8194,80,5718
365,9109,8194,80,5726
366,9271,8194,80,5734
367,9433,8194,80,5742
368,9595,8194,80,5750
369,9758,8194,80,5758
370,9920,8194,80,5766
371,10082,8194,80,5774
372,10244,8194,80,5782
373,10406,8194,80,5790
374,10568,8194,80,5798
375,10730,8194,80,5806
376,10892,8194,80,5814
377,11055,8194,80,5822
378,11217,8194,80,5830
379,11375,8166,80,5838
380,11516,8087,80,5846
381,11671,8067,80,5855
382,11833,8067,80,5863
383,11995,8067,80,5871
384,12157,8067,80,5879
385,12319,8067,80,5887
386,12481,8067,80,5895
387,12643,8067,80,5903
388,12805,8067,80,5911
389,12968,8067,80,5919
390,13130,8067,80,5927
391,13292,8067,80,5935
392,13454,8067,80,5943
393,13616,8067,80,5951
394,13778,8067,80,5959
395,13940,8067,80,5967
396,14016,8151,80,5975
397,14016,8313,80,5983
398,14016,8475,80,5991
399,14016,8637,80,5999
400,13954,8733,80,6007
401,13791,8733,80,6015
402,13629,8733,80,6023
403,13467,8733,80,6031
404,13305,8733,80,6039
405,13143,8733,80,6047
406,12981,8733,80,6055
407,12819,8733,80,6063
408,12657,8733,80,6071
409,12495,8733,80,6079
410,12332,8733,80,6087
411,12170,8733,80,6095
412,12008,8733,80,6103
413,11846,8733,80,6111
414,11684,8733,80,6119
415,11526,8721,80,6127
416,11387,8639,80,6135
417,11230,8606,80,6143
418,11068,8606,80,6151
419,10906,8606,80,6159
420,10744,8606,80,6167
421,10581,8606,80,6175
422,10419,8606,80,6183
423,10257,8606,80,6191
424,10095,8606,80,6199
425,9933,8606,80,6207
426,9771,8606,80,6215
427,9609,8606,80,6223
428,9447,8606,80,6231
429,9285,8606,80,6239
430,9122,8606,80,6247
431,8960,8606,80,6255
432,8798,8606,80,6263
433,8672,8653,80,6270
434,8526,8721,80,6278
435,8379,8765,80,6287
436,8217,8765,80,6295
437,8055,8765,80,6303
438,7893,8765,80,6311
439,7731,8765,80,6319
440,7569,8765,80,6327
441,7407,8765,80,6335
442,7244,8765,80,6343
443,7082,8765,80,6351
444,6920,8765,80,6359
445,6758,8765,80,6367
446,6596,8765,80,6375
447,6434,8765,80,6383
448,6272,8765,80,6391
449,6110,8765,80,6399
450,5952,8763,80,6407
451,5952,8601,80,6415
452,5952,8439,80,6423
453,5952,8277,80,6431
454,5952,8115,80,6439
455,6031,8035,80,6447
456,6193,8035,80,6455
457,6355,8035,80,6463
458,6517,8035,80,6471
459,6679,8035,80,6479
460,6841,8035,80,6487
461,7003,8035,80,6495
462,7165,8035,80,6503
463,7327,8035,80,6511
464,7490,8035,80,6519
465,7652,8035,80,6527
466,7814,8035,80,6535
467,7976,8035,80,6543
468,8138,8035,80,6551
469,8300,8035,80,6559
470,8462,8035,80,6567
471,8598,8120,80,6575
472,8754,8162,80,6583
473,8916,8162,80,6591
474,9078,8162,80,6599
475,9240,8162,80,6607
476,9402,8162,80,6615
477,9564,8162,80,6624
478,9726,8162,80,6632
479,9888,8162,80,6640
480,10051,8162,80,6648
481,10213,8162,80,6656
482,10375,8162,80,6664
483,10537,8162,80,6672
484,10699,8162,80,6680
485,10861,8162,80,6688
486,11023,8162,80,6696
487,11185,8162,80,6704
488,11345,8143,80,6712
489,11488,8067,80,6720
490,11639,8035,80,6727
491,11801,8035,80,6736
492,11963,8035,80,6744
493,12125,8035,80,6752
494,12287,8035,80,6760
495,12449,8035,80,6768
496,12612,8035,80,6776
497,12774,8035,80,6784
498,12936,8035,80,6792
499,13098,8035,80,6800
500,13260,8035,80,6808
501,13422,8035,80,6816
502,13584,8035,80,6824
503,13746,8035,80,6832
504,13908,8035,80,6840
505,14048,8055,80,6848
506,14048,8217,80,6856
507,14048,8379,80,6864
508,14048,8541,80,6872
509,14048,8703,80,6880
510,13951,8765,80,6888
511,13789,8765,80,6896
512,13627,8765,80,6904
513,13465,8765,80,6912
514,13303,8765,80,6920
515,13141,8765,80,6928
516,12979,8765,80,6936
517,12817,8765,80,6944
518,12654,8765,80,6952
519,12492,8765,80,6960
520,12330,8765,80,6968
521,12168,8765,80,6976
522,12006,8765,80,6984
523,11844,8765,80,6993
524,11682,8765,80,7001
525,11522,8759,80,7009
526,11385,8673,80,7016
527,11228,8638,80,7024
528,11066,8638,80,7032
529,10904,8638,80,7040
530,10742,8638,80,7048
531,10580,8638,80,7056
532,10418,8638,80,7064
533,10256,8638,80,7072
534,10093,8638,80,7080
535,9931,8638,80,7088
536,9769,8638,80,7096
537,9607,8638,80,7105
538,9445,8638,80,7113
539,9283,8638,80,7121
540,9121,8638,80,7129
541,8959,8638,80,7137
542,8797,8638,80,7145
543,8691,8583,80,7150
544,8540,8639,80,7158
545,8398,8702,80,7166
546,8235,8702,80,7174
547,8073,8702,80,7182
548,7911,8702,80,7190
549,7749,8702,80,7198
550,7587,8702,80,7206
551,7425,8702,80,7214
552,7263,8702,80,7222
553,7101,8702,80,7230
554,6939,8702,80,7238
555,6776,8702,80,7246
556,6614,8702,80,7254
557,6452,8702,80,7262
558,6290,8702,80,7270
559,6128,8702,80,7278
560,6015,8655,80,7286
561,6015,8493,80,7294
562,6015,8331,80,7302
563,6015,8169,80,7311
564,6102,8098,80,7318
565,6264,8098,80,7326
566,6426,8098,80,7334
567,6589,8098,80,7342
568,6751,8098,80,7350
569,6913,8098,80,7358
570,7075,8098,80,7366
571,7237,8098,80,7374
572,7399,8098,80,7382
573,7561,8098,80,7390
574,7723,8098,80,7398
575,7885,8098,80,7406
576,8048,8098,80,7414
577,8210,8098,80,7422
578,8372,8098,80,7430
579,8518,8148,80,7439
580,8666,8211,80,7447
581,8827,8225,80,7454
582,8989,8225,80,7462
583,9151,8225,80,7470
584,9313,8225,80,7479
585,9475,8225,80,7487
586,9637,8225,80,7495
587,9799,8225,80,7503
588,9961,8225,80,7511
589,10124,8225,80,7519
590,10286,8225,80,7527
591,10448,8225,80,7535
592,10610,8225,80,7543
593,10772,8225,80,7551
594,10934,8225,80,7559
595,11096,8225,80,7567
596,11258,8225,80,7575
597,11414,8183,80,7583
598,11551,8098,80,7591
599,11713,8098,80,7599
600,11875,8098,80,7607
601,12038,8098,80,7615
602,12200,8098,80,7623
603,12362,8098,80,7631
604,12524,8098,80,7639
605,12686,8098,80,7647
606,12848,8098,80,7655
607,13010,8098,80,7663
608,13172,8098,80,7671
609,13334,8098,80,7679
610,13497,8098,80,7687
611,13659,8098,80,7695
612,13821,8098,80,7703
613,13983,8098,80,7711
614,13985,8255,80,7719
615,13985,8417,80,7727
616,13985,8580,80,7735
617,13949,8702,80,7743
618,13787,8702,80,7751
619,13625,8702,80,7759
620,13463,8702,80,7767
621,13301,8702,80,7775
622,13139,8702,80,7783
623,12976,8702,80,7791
624,12814,8702,80,7799
625,12652,8702,80,7807
626,12490,8702,80,7815
627,12328,8702,80,7824
628,12166,8702,80,7832
629,12004,8702,80,7840
630,11842,8702,80,7848
631,11679,8702,80,7856
632,11525,8681,80,7863
633,11383,8604,80,7871
634,11225,8575,80,7880
635,11062,8575,80,7888
636,10900,8575,80,7896
637,10738,8575,80,7904
638,10576,8575,80,7912
639,10414,8575,80,7920
640,10252,8575,80,7928
641,10090,8575,80,7936
642,9928,8575,80,7944
643,9766,8575,80,7952
644,9603,8575,80,7960
645,9441,8575,80,7968
