Index,X,Y,Z,E
0,124,0,0,30
1,259,0,0,63
2,394,0,0,96
3,529,0,0,128
4,664,0,0,161
5,800,0,0,193
6,935,0,0,226
7,1070,0,0,258
8,1205,0,0,291
9,1340,0,0,324
10,1475,0,0,356
11,1610,0,0,389
12,1745,0,0,421
13,1880,0,0,454
14,2016,0,0,487
15,2151,0,0,519
16,2286,0,0,552
17,2421,0,0,584
18,2556,0,0,617
19,2691,0,0,649
20,2826,0,0,682
21,2961,0,0,715
22,3096,0,0,747
23,3232,0,0,780
24,3367,0,0,813
25,3502,0,0,845
26,3637,0,0,878
27,3772,0,0,910
28,3907,0,0,943
29,4042,0,0,976
30,4177,0,0,1008
31,4312,0,0,1041
32,4447,0,0,1073
33,4583,0,0,1106
34,4718,0,0,1138
35,4853,0,0,1185
36,4988,0,0,1253
37,5123,0,0,1321
38,5258,0,0,1389
39,5393,0,0,1457
40,5528,0,0,1525
41,5663,0,0,1593
42,5799,0,0,1661
43,5934,0,0,1729
44,6069,0,0,1797
45,6204,0,0,1864
46,6339,0,0,1932
47,6474,0,0,2001
48,6609,0,0,2069
49,6744,0,0,2136
50,6879,0,0,2204
51,7015,0,0,2272
52,7150,0,0,2340
53,7285,0,0,2408
54,7420,0,0,2476
55,7555,0,0,2544
56,7690,0,0,2612
57,7825,0,0,2680
58,7960,0,0,2748
59,7963,130,1,2881
60,7829,596,6,2881
61,7695,1062,11,2881
62,7561,1529,16,2881
63,7427,1995,20,2881
64,7293,2461,25,2881
65,7159,2927,30,2881
66,7025,3393,35,2881
67,6891,3860,40,2881
68,6757,4326,44,2881
69,6623,4792,49,2881
70,6489,5258,54,2881
71,6355,5724,59,2881
72,6221,6191,64,2881
73,6087,6657,68,2881
74,5953,7123,73,2881
75,5819,7589,78,2881
76,5780,7779,80,2996
77,5933,7732,80,3003
78,6095,7731,80,3011
79,6257,7731,80,3019
80,6419,7731,80,3026
81,6581,7731,80,3033
82,6743,7731,80,3041
83,6905,7731,80,3048
84,7068,7731,80,3055
85,7230,7731,80,3063
86,7392,7731,80,3070
87,7554,7731,80,3078
88,7716,7731,80,3085
89,7878,7731,80,3092
90,8040,7731,80,3100
91,8202,7731,80,3107
92,8364,7731,80,3114
93,8526,7736,80,3121
94,8686,7763,80,3129
95,8847,7786,80,3136
96,9008,7807,80,3143
97,9169,7823,80,3151
98,9330,7838,80,3158
99,9492,7847,80,3166
100,9654,7853,80,3173
101,9816,7856,80,3181
102,9978,7858,80,3188
103,10141,7858,80,3196
104,10303,7855,80,3203
105,10465,7849,80,3210
106,10626,7840,80,3218
107,10788,7828,80,3225
108,10949,7812,80,3232
109,11110,7792,80,3239
110,11271,7769,80,3247
111,11431,7743,80,3254
112,11592,7731,80,3262
113,11754,7731,80,3269
114,11917,7731,80,3277
115,12079,7731,80,3284
116,12241,7731,80,3292
117,12403,7731,80,3299
118,12565,7731,80,3306
119,12727,7731,80,3314
120,12889,7731,80,3321
121,13051,7731,80,3328
122,13213,7731,80,3336
123,13376,7731,80,3343
124,13538,7731,80,3350
125,13700,7731,80,3358
126,13862,7731,80,3365
127,14024,7731,80,3373
128,14182,7758,80,3380
129,14303,7863,80,3387
130,14351,8016,80,3394
131,14352,8178,80,3402
132,14352,8340,80,3409
133,14352,8502,80,3417
134,14352,8664,80,3424
135,14348,8826,80,3431
136,14279,8970,80,3439
137,14144,9056,80,3446
138,13983,9069,80,3454
139,13821,9069,80,3461
140,13659,9069,80,3468
141,13497,9069,80,3476
142,13335,9069,80,3483
143,13173,9069,80,3490
144,13011,9069,80,3498
145,12848,9069,80,3505
146,12686,9069,80,3513
147,12524,9069,80,3520
148,12362,9069,80,3527
149,12200,9069,80,3535
150,12038,9069,80,3542
151,11876,9069,80,3549
152,11714,9069,80,3557
153,11552,9069,80,3564
154,11391,9050,80,3571
155,11231,9025,80,3578
156,11070,9002,80,3586
157,10909,8984,80,3593
158,10747,8969,80,3601
159,10586,8957,80,3608
160,10424,8949,80,3616
161,10262,8945,80,3623
162,10100,8942,80,3630
163,9938,8942,80,3638
164,9776,8944,80,3645
165,9613,8947,80,3653
166,9452,8954,80,3660
167,9290,8966,80,3668
168,9128,8981,80,3675
169,8967,8998,80,3682
170,8806,9019,80,3689
171,8646,9045,80,3697
172,8486,9067,80,3704
173,8324,9069,80,3712
174,8162,9069,80,3719
175,8000,9069,80,3727
176,7837,9069,80,3734
177,7675,9069,80,3741
178,7513,9069,80,3749
179,7351,9069,80,3756
