Index,X,Y,Z,E
0,124,0,0,27
1,259,0,0,56
2,394,0,0,85
3,529,0,0,114
4,664,0,0,143
5,800,0,0,172
6,935,0,0,201
7,1070,0,0,230
8,1205,0,0,259
9,1340,0,0,288
10,1475,0,0,317
11,1610,0,0,346
12,1745,0,0,375
13,1880,0,0,404
14,2016,0,0,433
15,2151,0,0,462
16,2286,0,0,491
17,2421,0,0,520
18,2556,0,0,549
19,2691,0,0,578
20,2826,0,0,607
21,2961,0,0,636
22,3096,0,0,665
23,3232,0,0,694
24,3367,0,0,723
25,3502,0,0,752
26,3637,0,0,781
27,3772,0,0,810
28,3907,0,0,839
29,4042,0,0,868
30,4177,0,0,897
31,4312,0,0,926
32,4447,0,0,955
33,4583,0,0,984
34,4718,0,0,1013
35,4853,0,0,1054
36,4988,0,0,1114
37,5123,0,0,1175
38,5258,0,0,1236
39,5393,0,0,1296
40,5528,0,0,1356
41,5663,0,0,1417
42,5799,0,0,1477
43,5934,0,0,1537
44,6069,0,0,1598
45,6204,0,0,1658
46,6339,0,0,1718
47,6474,0,0,1779
48,6609,0,0,1839
49,6744,0,0,1900
50,6879,0,0,1960
51,7015,0,0,2020
52,7150,0,0,2081
53,7285,0,0,2141
54,7420,0,0,2201
55,7555,0,0,2262
56,7690,0,0,2322
57,7825,0,0,2383
58,7960,0,0,2443
59,7963,130,1,2574
60,7829,596,6,2574
61,7695,1063,11,2574
62,7561,1529,16,2574
63,7427,1995,21,2574
64,7293,2461,25,2574
65,7159,2928,30,2574
66,7025,3394,35,2574
67,6891,3860,40,2574
68,6757,4326,44,2574
69,6623,4792,49,2574
70,6489,5259,54,2574
71,6355,5725,59,2574
72,6221,6191,64,2574
73,6087,6657,68,2574
74,5953,7123,73,2574
75,5819,7590,78,2574
76,5780,7779,80,2689
77,5933,7732,80,2695
78,6095,7731,80,2702
79,6257,7731,80,2709
80,6419,7731,80,2715
81,6581,7731,80,2722
82,6743,7731,80,2728
83,6906,7731,80,2735
84,7068,7731,80,2742
85,7230,7731,80,2748
86,7392,7731,80,2755
87,7554,7731,80,2761
88,7716,7731,80,2768
89,7878,7731,80,2774
90,8040,7731,80,2781
91,8202,7731,80,2787
92,8365,7731,80,2794
93,8526,7736,80,2800
94,8686,7763,80,2807
95,8847,7786,80,2813
96,9008,7807,80,2820
97,9169,7823,80,2827
98,9330,7838,80,2833
99,9492,7847,80,2840
100,9654,7853,80,2847
101,9816,7856,80,2853
102,9978,7858,80,2859
103,10141,7858,80,2866
104,10303,7855,80,2872
105,10465,7849,80,2879
106,10627,7840,80,2885
107,10788,7828,80,2892
108,10950,7812,80,2899
109,11110,7792,80,2906
110,11271,7769,80,2912
111,11431,7743,80,2918
112,11592,7731,80,2925
113,11755,7731,80,2932
114,11917,7731,80,2938
115,12079,7731,80,2945
116,12241,7731,80,2951
117,12403,7731,80,2958
118,12565,7731,80,2964
119,12727,7731,80,2971
120,12889,7731,80,2978
121,13051,7731,80,2984
122,13214,7731,80,2991
123,13376,7731,80,2997
124,13538,7731,80,3004
125,13700,7731,80,3010
126,13862,7731,80,3017
127,14024,7731,80,3024
128,14182,7758,80,3030
129,14303,7863,80,3036
130,14351,8016,80,3043
131,14352,8178,80,3050
132,14352,8340,80,3056
133,14352,8502,80,3063
134,14352,8664,80,3069
135,14348,8826,80,3076
136,14279,8970,80,3083
137,14144,9056,80,3089
138,13983,9069,80,3095
139,13821,9069,80,3102
140,13659,9069,80,3108
141,13497,9069,80,3115
142,13335,9069,80,3122
143,13173,9069,80,3128
144,13010,9069,80,3135
145,12848,9069,80,3141
146,12686,9069,80,3148
147,12524,9069,80,3155
148,12362,9069,80,3161
149,12200,9069,80,3168
150,12038,9069,80,3174
151,11876,9069,80,3181
152,11714,9069,80,3187
153,11552,9069,80,3194
